group	dataset	id	replica 1
DEUTERON	NMC_NC_NOTFIXED_EM-F2	203	0.8501559345983034
DEUTERON	NMC_NC_NOTFIXED_EM-F2	204	0.8615681378558876
DEUTERON	NMC_NC_NOTFIXED_EM-F2	205	0.8184933180472633
DEUTERON	NMC_NC_NOTFIXED_EM-F2	206	0.799658881040805
DEUTERON	NMC_NC_NOTFIXED_EM-F2	207	0.8426256440076748
DEUTERON	NMC_NC_NOTFIXED_EM-F2	208	0.8256344606214121
DEUTERON	NMC_NC_NOTFIXED_EM-F2	209	0.8291021913350953
DEUTERON	NMC_NC_NOTFIXED_EM-F2	210	0.8195383602428931
DEUTERON	NMC_NC_NOTFIXED_EM-F2	211	0.8307885532915328
DEUTERON	NMC_NC_NOTFIXED_EM-F2	212	0.7659272376779264
DEUTERON	NMC_NC_NOTFIXED_EM-F2	213	0.7500626864812546
DEUTERON	NMC_NC_NOTFIXED_EM-F2	217	0.8103020163250695
DEUTERON	NMC_NC_NOTFIXED_EM-F2	218	0.8412587523458703
DEUTERON	NMC_NC_NOTFIXED_EM-F2	219	0.8252894637302368
DEUTERON	NMC_NC_NOTFIXED_EM-F2	220	0.771407572187648
DEUTERON	NMC_NC_NOTFIXED_EM-F2	221	0.7869140883725296
DEUTERON	NMC_NC_NOTFIXED_EM-F2	222	0.8003906260146808
DEUTERON	NMC_NC_NOTFIXED_EM-F2	223	0.8163869828105299
DEUTERON	NMC_NC_NOTFIXED_EM-F2	224	0.7387365269062012
DEUTERON	NMC_NC_NOTFIXED_EM-F2	225	0.7658029223741921
DEUTERON	NMC_NC_NOTFIXED_EM-F2	226	0.6938165175269969
DEUTERON	NMC_NC_NOTFIXED_EM-F2	231	0.7774877653546778
DEUTERON	NMC_NC_NOTFIXED_EM-F2	232	0.7466764091946009
DEUTERON	NMC_NC_NOTFIXED_EM-F2	233	0.7358749292917195
DEUTERON	NMC_NC_NOTFIXED_EM-F2	234	0.7771731679954241
DEUTERON	NMC_NC_NOTFIXED_EM-F2	235	0.7467007381544142
DEUTERON	NMC_NC_NOTFIXED_EM-F2	236	0.7499399791830585
DEUTERON	NMC_NC_NOTFIXED_EM-F2	237	0.7914863313013536
DEUTERON	NMC_NC_NOTFIXED_EM-F2	238	0.7386728402298193
DEUTERON	NMC_NC_NOTFIXED_EM-F2	244	0.7212160808369931
DEUTERON	NMC_NC_NOTFIXED_EM-F2	245	0.6501061062048794
DEUTERON	NMC_NC_NOTFIXED_EM-F2	246	0.6645737717808563
DEUTERON	NMC_NC_NOTFIXED_EM-F2	247	0.7344440914343194
DEUTERON	NMC_NC_NOTFIXED_EM-F2	248	0.623162778279116
DEUTERON	NMC_NC_NOTFIXED_EM-F2	249	0.6890868015976566
DEUTERON	NMC_NC_NOTFIXED_EM-F2	255	0.66760605946943
DEUTERON	NMC_NC_NOTFIXED_EM-F2	256	0.7678894247916068
DEUTERON	NMC_NC_NOTFIXED_EM-F2	257	0.7759198266320064
DEUTERON	NMC_NC_NOTFIXED_EM-F2	258	0.7860499459915224
DEUTERON	NMC_NC_NOTFIXED_EM-F2	259	0.8132553216695487
